,Date,Time,AM/PM,Code,Range,Result
2336,2008-01-01,01:53,PM,tqIgn7Nx,78.030172,M
1928,2008-01-01,02:59,PM,ZI376NYi,68.85926500000001,H
1538,2008-01-01,03:11,PM,fvnkurco,49.76065,H
6986,2008-01-01,07:29,PM,YKPSrFpn,74.65128100000001,H
3759,2008-01-01,08:11,PM,TDyNvVEk,88.29534699999999,H
1960,2008-01-01,08:34,PM,qilScNEX,80.599326,M
2584,2008-01-01,09:42,PM,AznmyaT9,78.649403,H
9622,2008-01-01,11:47,PM,1Gi2bbNN,77.049234,H
4946,2008-01-01,11:52,PM,SZd4qofU,54.945997,M
1024,2008-01-02,01:41,AM,noJeXzPc,69.92540699999999,H
9838,2008-01-02,01:59,AM,imQINsTG,84.717038,M
8889,2008-01-02,02:49,AM,ruu61Mkt,74.01310500000001,H
7314,2008-01-02,03:08,AM,zNJ1EnTu,59.235767,H
1304,2008-01-02,03:26,AM,MKnzDZ1Z,74.422972,H
4353,2008-01-02,05:01,AM,zm1HjTHu,87.67388199999999,M
1321,2008-01-02,06:27,AM,jBAOzdNL,67.940012,H
7135,2008-01-02,06:46,AM,JDsufY0H,63.595996,M
1452,2008-01-02,07:12,AM,YchHUyAt,81.581397,M
2990,2008-01-02,09:02,AM,PxL6gKF4,87.444023,H
5621,2008-01-02,10:29,AM,yQFiySlD,89.752122,H
2602,2008-01-02,10:41,AM,uHvQ8PmJ,61.93245699999999,M
6964,2008-01-02,11:02,AM,iSEfdlo9,75.632559,M
3942,2008-01-02,11:04,AM,e8JSseob,73.501264,M
4801,2008-01-02,11:52,AM,i52dofvM,89.295331,H
3262,2008-01-02,12:26,AM,LLsBuPqL,83.120199,H
2452,2008-01-02,01:09,PM,HhJw2yWk,95.936422,M
1680,2008-01-02,01:26,PM,DZy6S6SA,87.4926,M
8912,2008-01-02,01:59,PM,l2TnFk50,79.352615,H
8398,2008-01-02,02:54,PM,07nQP5wA,95.96851,H
4538,2008-01-02,04:20,PM,CVmBMvb6,62.083828000000004,H
2188,2008-01-02,05:57,PM,AU0DcSly,65.447929,M
9311,2008-01-02,06:07,PM,Jkh1Txjy,53.088621999999994,M
7798,2008-01-02,06:59,PM,EGvN0lPd,74.23868900000001,M
1700,2008-01-02,07:31,PM,ktvCaNcT,86.248274,H
2964,2008-01-02,07:57,PM,jQShs6B2,60.899051,M
9840,2008-01-02,08:21,PM,9NOGRDV6,68.724701,M
2300,2008-01-02,08:35,PM,9PB8pDFM,56.169277,M
6535,2008-01-02,11:04,PM,OHse5pr2,69.80299000000001,H
9613,2008-01-02,11:40,PM,ggH1mc36,74.075319,H
7600,2008-01-02,11:49,PM,KGUj1oDY,53.967337,M
5129,2008-01-03,03:16,AM,dd5vpcKt,78.058663,M
6680,2008-01-03,03:45,AM,1CWj2F8o,71.950843,M
6495,2008-01-03,04:01,AM,9hietXob,77.705671,M
3590,2008-01-03,04:30,AM,XZ2NcEIS,71.678733,M
5239,2008-01-03,04:37,AM,1PqFtYpV,77.097092,M
8824,2008-01-03,05:35,AM,658ofnJS,57.04920500000001,M
1445,2008-01-03,06:03,AM,7GfHpvQw,83.652423,M
8066,2008-01-03,06:47,AM,ZtQqjZET,75.60351700000001,H
8667,2008-01-03,06:49,AM,tuV9ecOR,81.352171,M
8533,2008-01-03,07:39,AM,L9DyBy2I,67.57517,M
6090,2008-01-03,07:56,AM,TZtSQyk8,78.03828100000001,M
6208,2008-01-03,09:06,AM,x46ptEhU,84.686549,M
9990,2008-01-03,09:17,AM,AJOaUYZA,62.069175,M
779,2008-01-03,09:23,AM,8XY2rcqN,69.301358,M
7360,2008-01-03,09:39,AM,5z3QGbFK,71.600099,M
894,2008-01-03,09:45,AM,YuobxIUQ,76.345354,M
